Date,T100ECMU Index,SPGSCIP Index,LBUSTRUU Index,SPXT Index
7/14/03,36.72,467.2038,1151.5,1453.0009
7/15/03,36.44,465.4797,1143.8199,1448.0219
7/16/03,36.35,458.6879,1142.91,1438.8549
7/17/03,36.28,462.1791,1142.78,1421.1113
7/18/03,36.34,465.613,1142.2,1437.8854
7/21/03,36.28,464.8124,1134.25,1416.8779
7/22/03,36.05,450.8129,1135.35,1430.3503
7/23/03,36.25,453.791,1137.3,1431.1024
7/24/03,36.47,457.0309,1135.3199,1420.9552
7/25/03,36.6,457.5335,1134.79,1445.7009
7/28/03,36.7,457.7865,1129.95,1442.5764
7/29/03,36.63,458.2748,1124.0601,1432.3063
7/30/03,36.57,461.3801,1127.01,1429.906
7/31/03,36.63,461.9817,1117.6,1434.3292
8/1/03,36.83,479.1378,1117.04,1419.639
8/4/03,36.59,472.8469,1121.28,1423.5088
8/5/03,36.59,476.4464,1117.53,1398.4214
8/6/03,36.48,474.3975,1125.99,1401.0123
8/7/03,36.75,483.4046,1129.05,1411.2645
8/8/03,36.57,480.5446,1129.64,1416.3043
8/11/03,36.63,479.6818,1125.9,1421.0101
8/12/03,36.76,481.4281,1126.8199,1435.1694
8/13/03,36.56,473.4678,1116.79,1426.5536
8/14/03,36.7,472.4277,1116.47,1435.9552
8/15/03,36.64,471.8688,1118.42,1436.426
8/18/03,36.68,473.1975,1121.13,1449.6473
8/19/03,36.77,471.457,1126.73,1453.4528
8/20/03,36.9,477.3888,1124.5699,1450.6058
8/21/03,37.05,486.2749,1120.76,1454.9772
8/22/03,37.11,487.3386,1122.6899,1440.1656
8/25/03,36.94,482.5084,1120.01,1441.1119
8/26/03,37,483.9636,1122.27,1445.5049
8/27/03,36.95,476.7816,1120.15,1445.837
8/28/03,36.92,479.5024,1125.4301,1454.6963
8/29/03,37.18,480.4932,1125.02,1462.3015
9/1/03,37.24,480.4932,1125.02,1462.3015
9/2/03,36.85,460.1136,1118.04,1482.6089
9/3/03,36.99,462.0835,1118.49,1489.2472
9/4/03,36.63,460.0584,1122.97,1491.7672
9/5/03,36.76,458.9466,1131.87,1482.2408
9/8/03,36.69,458.3541,1130.77,1497.2183
9/9/03,36.72,461.5121,1131.92,1484.9296
9/10/03,36.74,465.2008,1137.09,1467.2886
9/11/03,36.81,459.1703,1134.21,1475.7152
9/12/03,36.54,454.0178,1137.22,1478.9352
9/15/03,36.68,452.5907,1138.96,1473.4338
9/16/03,36.45,446.1922,1137.4399,1494.5027
9/17/03,36.58,441.0326,1142.1899,1489.6957
9/18/03,36.66,439.1021,1142.0699,1509.4718
9/19/03,36.84,438.05,1142.73,1504.7368
9/22/03,37.12,440.3967,1139.85,1485.1614
9/23/03,37.14,440.1169,1141.4,1494.1937
9/24/03,37.4,451.5119,1145.17,1465.6637
9/25/03,37.46,451.747,1146.64,1457.0869
9/26/03,37.27,448.969,1150.28,1448.0311
9/29/03,37.56,454.1406,1148.2,1462.1964
9/30/03,37.71,460.4817,1154.8,1446.7726
10/1/03,37.9,461.7485,1154.8199,1479.2296
10/2/03,38.21,465.842,1151.5699,1482.3606
10/3/03,37.88,470.5296,1142.7,1496.3174
10/6/03,37.99,471.7102,1145.47,1502.8615
10/7/03,38.18,474.8875,1141.58,1510.0477
10/8/03,38.13,471.74,1142.29,1502.6516
10/9/03,38.44,487.2487,1139.98,1509.8568
10/10/03,38.92,498.0401,1142.38,1508.9979
10/13/03,39.6,498.6309,1142.38,1519.5972
10/14/03,39.36,495.6917,1138.65,1525.6044
10/15/03,39.36,495.1806,1136.8,1521.9512
10/16/03,39.28,491.9799,1133.49,1526.8022
10/17/03,39.15,479.8948,1136.72,1511.1775
10/20/03,39.28,475.1694,1137.86,1518.9727
10/21/03,39.35,475.7731,1138.33,1520.928
10/22/03,39.66,474.1714,1142.14,1498.2831
10/23/03,39.81,479.6146,1140.84,1503.2618
10/24/03,39.61,478.162,1145.92,1496.1949
10/27/03,39.66,474.2329,1143.8,1499.4297
10/28/03,39.81,472.3495,1148.02,1522.2061
10/29/03,40.3,470.137,1144.46,1524.4136
10/30/03,40.24,462.9135,1141.6,1523.1227
10/31/03,40.55,470.1959,1144.03,1528.6165
11/3/03,40.23,464.554,1141.26,1540.7102
11/4/03,40.21,463.2406,1144.0601,1532.3362
11/5/03,40.41,479.9737,1141.26,1530.5421
11/6/03,40.28,475.8723,1138.2,1539.748
11/7/03,40.22,482.0494,1136.77,1533.0223
11/10/03,40.28,482.334,1136.48,1524.261
11/11/03,40.66,486.8983,1136.48,1523.4697
11/12/03,40.8,487.3972,1140.03,1541.4929
11/13/03,40.82,492.5947,1147.36,1541.2966
11/14/03,41.17,499.7574,1151.02,1529.8354
11/17/03,40.66,490.2857,1153.3101,1520.0707
11/18/03,40.84,502.2945,1153.79,1506.3162
11/19/03,40.06,493.2275,1150.21,1518.512
11/20/03,40.15,490.0554,1153.47,1505.7617
11/21/03,40.27,488.8212,1153.9,1508.2109
11/24/03,39.98,473.0999,1150.49,1532.6893
11/25/03,40.14,474.3101,1152.8101,1535.4911
11/26/03,40.38,479.5976,1150.09,1542.3945
11/27/03,40.45,479.5976,1150.09,1542.3945
11/28/03,40.79,481.8771,1146.77,1542.0658
12/1/03,41.02,484.1235,1143.85,1559.5018
12/2/03,41.27,495.0608,1144.75,1554.4154
12/3/03,41.48,499.8662,1143.72,1552.093
12/4/03,41.07,505.915,1146.39,1559.4696
12/5/03,40.89,498.9936,1154.9301,1547.5156
12/8/03,41.13,518.4909,1151.86,1558.9631
12/9/03,41.4,513.1955,1148.48,1545.6794
12/10/03,41.31,512.664,1150.6801,1544.3135
12/11/03,40.96,510.3063,1154.85,1562.2305
