DATE,SPXT,BOND,FTSE
11/13/03,1541.2966,1147.36,40.82
11/14/03,1529.8354,1151.02,41.17
11/17/03,1520.0707,1153.3101,40.66
11/18/03,1506.3162,1153.79,40.84
11/19/03,1518.512,1150.21,40.06
11/20/03,1505.7617,1153.47,40.15
11/21/03,1508.2109,1153.9,40.27
11/24/03,1532.6893,1150.49,39.98
11/25/03,1535.4911,1152.8101,40.14
11/26/03,1542.3945,1150.09,40.38
11/27/03,1542.3945,1150.09,40.45
11/28/03,1542.0658,1146.77,40.79
12/1/03,1559.5018,1143.85,41.02
12/2/03,1554.4154,1144.75,41.27
12/3/03,1552.093,1143.72,41.48
12/4/03,1559.4696,1146.39,41.07
12/5/03,1547.5156,1154.9301,40.89
12/8/03,1558.9631,1151.86,41.13
12/9/03,1545.6794,1148.48,41.4
12/10/03,1544.3135,1150.6801,41.31
12/11/03,1562.2305,1154.85,40.96
12/12/03,1566.4974,1155.16,41.36
12/15/03,1557.6586,1154.05,41.52
12/16/03,1568.0166,1156.49,41.55
12/17/03,1570.1478,1158.67,41.81
12/18/03,1588.9016,1160.8101,41.91
12/19/03,1588.1935,1161.23,41.93
12/22/03,1594.4321,1160.22,41.29
12/23/03,1598.9344,1155.3101,41.41
12/24/03,1596.0509,1159.11,41.81
12/26/03,1598.7449,1161.55,42.22
12/29/03,1619.1583,1158.8,42.07
12/30/03,1619.5914,1157.38,42.06
12/31/03,1622.9386,1158.4399,41.9
1/2/04,1618.0504,1153.28,42.3
1/5/04,1638.1021,1153.8,43.06
1/6/04,1640.3053,1159.1801,42.41
1/7/04,1644.6018,1160.53,42.15
1/8/04,1652.8264,1160.7,42.9
1/9/04,1638.1359,1168.79,43
1/12/04,1646.0337,1168.87,42.94
1/13/04,1637.3298,1171.26,42.77
1/14/04,1650.9619,1172.98,42.64
1/15/04,1653.2051,1173.71,42.09
1/16/04,1664.5657,1172.1801,42.68
1/19/04,1664.5657,1172.1801,42.52
1/20/04,1663.0288,1170.79,43.19
1/21/04,1676.0719,1171.91,43.28
1/22/04,1670.7305,1175.08,43.18
1/23/04,1667.2571,1170.64,43.29
1/26/04,1687.4406,1167.58,42.99
1/27/04,1670.9089,1170.48,42.67
1/28/04,1648.4376,1164.55,42.59
1/29/04,1657.0931,1164.71,42.15
1/30/04,1652.7279,1167.76,42.56
2/2/04,1658.7882,1167.27,42.59
2/3/04,1659.9241,1169.8101,42.76
2/4/04,1646.2909,1169.0601,42.67
2/5/04,1649.3523,1166.45,42.89
2/6/04,1670.1409,1170.89,43.03
2/9/04,1666.1589,1172.8,43.44
2/10/04,1674.5511,1170.9301,43.48
2/11/04,1693.0328,1175.58,43.69
2/12/04,1684.9242,1173.98,43.89
2/13/04,1675.8624,1176.0601,44.12
2/16/04,1675.8624,1176.0601,44.19
2/17/04,1692.2203,1176.1899,44.99
2/18/04,1684.8947,1176.2,44.62
2/19/04,1678.0087,1176.52,45.01
2/20/04,1673.7115,1174.2,44.68
2/23/04,1669.1968,1176.63,44.5
2/24/04,1666.4222,1177.75,45.28
2/25/04,1673.3364,1178.53,45.37
2/26/04,1675.6337,1177.29,45.64
2/27/04,1675.7,1180.4,45.94
3/1/04,1691.8986,1180.34,46.63
3/2/04,1681.8818,1177.9301,45.76
3/3/04,1685.1711,1177.24,44.99
3/4/04,1690.8301,1178.85,44.95
3/5/04,1693.762,1188.11,45.39
3/8/04,1679.738,1190.76,44.72
3/9/04,1670.0692,1192.76,44.8
3/10/04,1645.7937,1192.37,44.49
3/11/04,1621.2144,1191.99,45.07
3/12/04,1641.4232,1191.11,44.83
3/15/04,1617.9075,1190.75,45.59
3/16/04,1627.0289,1194.74,46
3/17/04,1646.2878,1194.87,46.02
3/18/04,1644.2136,1192.03,46.49
3/19/04,1625.844,1190.58,46.7
3/22/04,1604.8021,1193.46,46.73
3/23/04,1602.674,1194.04,46.64
3/24/04,1598.8494,1194.36,46.24
3/25/04,1625.011,1193.22,45.66
3/26/04,1623.3625,1188.47,45.71
3/29/04,1644.7498,1186.63,45.6
3/30/04,1651.427,1186.26,45.72
3/31/04,1650.4196,1189.24,45.74
4/1/04,1659.1644,1186.6801,46.18
4/2/04,1673.4048,1175.16,46.23
4/5/04,1686.2415,1171.61,45.54
4/6/04,1683.2285,1174.35,45.63
4/7/04,1672.137,1175.21,45.85
4/8/04,1670.3561,1174,45.42
4/12/04,1679.0173,1173.01,45.11
4/13/04,1655.9907,1167.71,44.45
4/14/04,1654.174,1165.29,44.99
4/15/04,1655.1501,1164.3101,44.5
4/16/04,1663.6185,1167.22,44.91
4/19/04,1665.3947,1166.38,44.81
4/20/04,1639.4941,1164.27,44.35
4/21/04,1648.309,1162.8199,43.23
4/22/04,1671.6256,1165.88,43.43
4/23/04,1672.6221,1161.35,43.72
4/26/04,1665.1947,1162.2,43.81
4/27/04,1668.9845,1163.92,44.46
4/28/04,1646.1956,1160.52,43.66
4/29/04,1634.1584,1156.58,44.08
4/30/04,1624.5112,1158.3,44.26
5/3/04,1639.4603,1158.24,44.67
5/4/04,1642.5012,1156.5601,44.87
5/5/04,1645.6476,1154.09,44.98
5/6/04,1634.7467,1151.23,44.5
5/7/04,1612.3064,1141.8101,44.64
5/10/04,1595.3756,1142.05,43.87
5/11/04,1607.9398,1143.61,44.27
5/12/04,1611.1509,1143.3101,43.85
5/13/04,1610.0514,1140.4301,43.97
5/14/04,1609.1183,1144.35,43.47
5/17/04,1592.2333,1149.22,43.09
5/18/04,1603.142,1147.5601,42.41
5/19/04,1599.2867,1144.49,43.31
5/20/04,1600.0562,1148.48,42.69
5/21/04,1606.4889,1146.42,42.67
5/24/04,1609.22,1147.9399,43.16
5/25/04,1635.142,1148.58,43.2
5/26/04,1638.1581,1151.73,42.93
5/27/04,1647.6469,1156.4301,42.12
5/28/04,1646.8037,1153.66,42.15
6/1/04,1647.5735,1151.02,43.35
6/2/04,1653.6647,1149.54,42.66
6/3/04,1641.4279,1150.74,41.99
6/4/04,1650.0748,1148.12,42.13
6/7/04,1676.4838,1149.62,42.34
6/8/04,1679.2086,1149.72,41.89
6/9/04,1663.3829,1147.22,41.85
6/10/04,1671.0146,1147.72,41.81
6/11/04,1671.0146,1147.72,41.79
6/14/04,1655.0009,1142.79,41.79
6/15/04,1664.9186,1153.22,41.84
6/16/04,1667.2324,1151.0601,42.05
6/17/04,1665.022,1153.49,42.41
6/18/04,1669.3896,1152.97,42.3
6/21/04,1662.4634,1154.14,42.18
6/22/04,1668.5465,1153.6801,42.26
6/23/04,1682.7504,1154.39,42.49
